Date,Open,High,Low,Close,Adj Close,Volume
3/13/2019,99.989998,101.589996,99.959999,101.18,89.292488,9883300
3/14/2019,100.940002,101.779999,100.720001,101.32,89.416016,8590200
3/15/2019,101.760002,102.889999,101.730003,102.440002,90.404434,30802700
3/18/2019,102.059998,102.290001,101.199997,101.510002,89.583694,8442800
3/19/2019,101.910004,102.139999,101.290001,101.900002,89.927887,7334100
3/20/2019,101.730003,102.309998,101.050003,101.720001,89.76902,7513800
3/21/2019,101.279999,102.910004,101.279999,102.489998,90.44857,8221000
3/22/2019,102.480003,103.150002,99.010002,101.660004,89.716064,11035900
3/25/2019,101.660004,102.339996,101.260002,101.959999,89.980827,6955500
3/26/2019,102.440002,103.480003,102.400002,103.019997,90.916306,6909400
3/27/2019,102.760002,103.019997,102.040001,102.900002,90.810379,6037100
3/28/2019,103.309998,103.68,103.110001,103.550003,91.384033,6793700
3/29/2019,103.860001,104.150002,103.110001,104.050003,91.825272,7535400
4/1/2019,104.230003,104.230003,103.139999,103.639999,91.46344,6626500
4/2/2019,103.610001,104.019997,103.260002,103.75,91.560547,6088800
4/3/2019,103.580002,103.889999,102.75,103.690002,91.507568,5226500
4/4/2019,103.480003,103.669998,102.790001,103.43,91.27813,4786100
4/5/2019,103.610001,103.690002,103.169998,103.650002,91.472275,4281800
4/8/2019,103.93,105.139999,103.5,104.970001,92.637199,8468600
4/9/2019,104.550003,104.760002,104.139999,104.660004,92.363625,5820300
4/10/2019,104.660004,105,104.239998,104.650002,92.354805,5394300
4/11/2019,104.580002,105.050003,104.370003,104.75,92.443016,5078400
4/12/2019,104.75,105.059998,104.169998,105.059998,92.716621,6707900
4/15/2019,104.980003,105.779999,104.790001,105.730003,93.307892,5639200
4/16/2019,105.980003,106.5,105.650002,106.419998,93.916847,8136100
4/17/2019,106.269997,106.510002,105.349998,105.849998,94.07325,6778100
4/18/2019,106.019997,106.709999,105.830002,106.050003,94.251007,7248900
4/22/2019,106.129997,107.199997,105.739998,106.010002,94.215462,9057200
4/23/2019,104.010002,104.110001,102.129997,103.160004,91.682533,15979800
4/24/2019,103.32,104.650002,102.790001,103.690002,92.153572,10094800
4/25/2019,103.099998,103.57,102.589996,103.279999,91.789192,6085300
4/26/2019,103.949997,105.879997,103.910004,105.860001,94.082146,7747400
4/29/2019,105.57,105.75,104.720001,104.779999,93.122299,4787600
4/30/2019,104.860001,106.620003,104.660004,106.480003,94.633171,8251300
5/1/2019,106.150002,106.389999,104.809998,104.93,93.255592,6733800
5/2/2019,105.199997,105.760002,105.050003,105.559998,93.815514,6270300
5/3/2019,105.989998,106.410004,105.580002,106.080002,94.277672,4793400
5/6/2019,105.120003,105.82,105.040001,105.68,93.922173,4890400
5/7/2019,105.029999,105.580002,104.099998,104.699997,93.051186,6021700
5/8/2019,104.989998,105.769997,104.160004,105.07,93.380035,5392600
5/9/2019,104.669998,105.040001,103.779999,104.239998,92.642387,6901700
5/10/2019,103.980003,106.150002,103.919998,106.010002,94.215462,5815800
5/13/2019,105.139999,106.589996,104.849998,106.110001,94.304337,7575500
5/14/2019,105.769997,106.5,105.57,105.599998,93.851074,7004000
5/15/2019,105.610001,107,105.5,106.699997,94.828674,5535600
5/16/2019,106.739998,108.68,106.589996,108.110001,96.081818,9284200
5/17/2019,107.269997,108,107.260002,107.449997,95.495247,6370200
5/20/2019,107.440002,108.129997,107.139999,107.330002,95.388588,6565300
5/21/2019,107.470001,107.540001,106.290001,106.370003,94.5354,5226400
5/22/2019,106.089996,107.050003,105.940002,106.720001,94.846443,4889700
5/23/2019,106.68,107.029999,105.889999,106.760002,94.881996,6175600
5/24/2019,107.150002,107.440002,106.540001,106.690002,94.819817,4372100
5/28/2019,106.699997,107.25,104.419998,104.459999,92.837898,7615500
5/29/2019,103.959999,104.809998,103.699997,104.190002,92.597939,7137300
5/30/2019,104.370003,105.370003,104.370003,105.330002,93.611099,4729200
5/31/2019,104.889999,104.900002,102.410004,102.910004,91.460335,10282300
6/3/2019,103.150002,103.959999,102.400002,103.800003,92.25132,8532900
6/4/2019,104.010002,105.099998,103.849998,104.68,93.033417,6906400
6/5/2019,105.239998,106.75,104.889999,106.730003,94.855354,6481700
6/6/2019,106.849998,107.68,106.330002,107.379997,95.433029,6681600
6/7/2019,107.739998,109.379997,107.739998,108.769997,96.668373,8063400
6/10/2019,108.32,109.019997,107.459999,108.720001,96.623955,4767000
6/11/2019,108.940002,109.599998,108.870003,109.379997,97.210503,8074400
6/12/2019,109.599998,110.660004,109.580002,109.68,97.477135,7687800
6/13/2019,109.980003,110.949997,109.860001,110.910004,98.570274,8611400
6/14/2019,110.970001,111.75,110.650002,111.199997,98.828026,6438100
6/17/2019,111.160004,111.209999,110.239998,110.989998,98.641388,6020000
6/18/2019,111.449997,111.559998,109.43,109.599998,97.406021,7731200
6/19/2019,109.5,110.730003,109.260002,110.419998,98.134819,7028000
6/20/2019,110.779999,112.019997,110.5,111.739998,99.307961,7044200
