Date,Open,High,Low,Close,Adj Close,Volume
3/13/2019,18.926666,19.466,18.846666,19.264,19.264,102670500
3/14/2019,19.496668,19.692667,19.219334,19.330667,19.330667,106551000
3/15/2019,18.900667,18.914667,18.293333,18.362,18.362,221782500
3/18/2019,18.4,18.536667,17.82,17.966,17.966,154215000
3/19/2019,17.833332,18.219999,17.563999,17.831333,17.831333,177009000
3/20/2019,17.979334,18.331333,17.753332,18.24,18.24,103623000
3/21/2019,18.173332,18.43,17.896667,18.268,18.268,89206500
3/22/2019,18.172001,18.186666,17.6,17.635332,17.635332,131184000
3/25/2019,17.313999,17.545334,16.964001,17.361334,17.361334,153225000
3/26/2019,17.629333,18.017332,17.628668,17.851334,17.851334,110263500
3/27/2019,17.916668,18.358,17.878668,18.322001,18.322001,131688000
3/28/2019,18.477333,18.688667,18.34,18.574667,18.574667,101611500
3/29/2019,18.58,18.677334,18.299999,18.657333,18.657333,89869500
4/1/2019,18.841333,19.280001,18.752001,19.278667,19.278667,121656000
4/2/2019,19.219999,19.296,18.925333,19.058666,19.058666,82183500
4/3/2019,19.154667,19.744667,19.144667,19.454,19.454,118791000
4/4/2019,17.459333,18.08,17.372667,17.851999,17.851999,355810500
4/5/2019,17.990667,18.406668,17.740667,18.330667,18.330667,195574500
4/8/2019,18.512667,18.743999,18.029333,18.213333,18.213333,156156000
4/9/2019,18.110001,18.333332,17.974001,18.153999,18.153999,88560000
4/10/2019,18.449333,18.558666,18.192667,18.403999,18.403999,105919500
4/11/2019,17.886667,18.033333,17.706667,17.894667,17.894667,147538500
4/12/2019,18.014668,18.129999,17.788668,17.846666,17.846666,101190000
4/15/2019,17.908667,17.925333,17.242001,17.758667,17.758667,150579000
4/16/2019,17.716667,18.333332,17.648001,18.224001,18.224001,109093500
4/17/2019,18.316668,18.319332,17.902666,18.082001,18.082001,76897500
4/18/2019,18.082001,18.322666,17.983334,18.217333,18.217333,88144500
4/22/2019,17.933332,17.978666,17.498667,17.516666,17.516666,182206500
4/23/2019,17.343332,17.706667,17.049999,17.593332,17.593332,164158500
4/24/2019,17.59,17.688,17.200001,17.243999,17.243999,160912500
4/25/2019,17,17.266666,16.404667,16.508667,16.508667,327741000
4/26/2019,16.433332,16.445333,15.408667,15.676,15.676,335410500
4/29/2019,15.724,16.265333,15.478,16.098,16.098,250717500
4/30/2019,16.137333,16.280666,15.8,15.912667,15.912667,141969000
5/1/2019,15.923333,16,15.433333,15.600667,15.600667,160566000
5/2/2019,16.368,16.475332,15.848,16.273333,16.273333,272389500
5/3/2019,16.257334,17.107332,16.232668,17.002001,17.002001,355602000
5/6/2019,16.667999,17.223333,16.566668,17.022667,17.022667,162508500
5/7/2019,17.120001,17.147333,16.34,16.470667,16.470667,151971000
5/8/2019,16.462667,16.706667,16.280001,16.322666,16.322666,92646000
